trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
517,False,"{'a': 0.66663696165800501, 'e': 0.33364374510334271}",25,11,17.683565970145107,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.66612009527947658, 'e': 0.33106208333877696}",25,12,-33.21684053428847,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
519,False,"{'a': 0.66560222941831437, 'e': 0.32847543449498762}",20,13,13.706277701492446,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.66508336407551782, 'e': 0.3258837985969103}",20,0,-0.5818691596295706,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
521,False,"{'a': 0.66456349925208613, 'e': 0.32328717566947995}",20,0,1.7332229739035028,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
522,False,"{'a': 0.66404263494901894, 'e': 0.32068556573763196}",25,7,26.847185546624875,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.66352077116731589, 'e': 0.31807896882630082}",25,13,6.766489597702925,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.66299790790797641, 'e': 0.3154673849604217}",30,0,-57.63187860129915,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
525,False,"{'a': 0.66247404517199993, 'e': 0.31285081416492933}",25,0,34.51973892560691,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
526,False,"{'a': 0.66194918296038585, 'e': 0.31022925646475819}",25,7,6.1477594564133895,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
527,False,"{'a': 0.66142332127413361, 'e': 0.30760271188484278}",20,0,-0.33433141433727176,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
528,False,"{'a': 0.66089646011424286, 'e': 0.3049711804501174}",35,0,12.612071777418887,"{0: 32, 1: 0, 2: 3, 3: 0, 4: 0}",0
529,False,"{'a': 0.66036859948171323, 'e': 0.3023346621855163}",25,10,-5.427087964529842,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
530,False,"{'a': 0.65983973937754392, 'e': 0.29969315711597355}",20,16,3.9339759288401894,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.65930987980273437, 'e': 0.2970466652664232}",20,12,13.273249779955064,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.65877902075828398, 'e': 0.29439518666179887}",20,0,-42.47172057173743,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
533,False,"{'a': 0.65824716224519264, 'e': 0.29173872132703438}",20,7,-29.249135075690056,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
534,False,"{'a': 0.65771430426445932, 'e': 0.28907726928706334}",25,0,9.43734019403759,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
535,False,"{'a': 0.65718044681708365, 'e': 0.28641083056681937}",25,0,29.606014676786117,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
536,False,"{'a': 0.6566455899040653, 'e': 0.28373940519123542}",20,0,-8.697910805758383,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
537,False,"{'a': 0.65610973352640367, 'e': 0.28106299318524508}",25,16,12.191858480828284,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.6555728776850982, 'e': 0.27838159457378131}",20,0,-54.87847963191316,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
539,False,"{'a': 0.6550350223811483, 'e': 0.27569520938177705}",25,0,1.4167634509000218,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
540,False,"{'a': 0.6544961676155534, 'e': 0.27300383763416525}",20,0,29.381140677918754,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
541,False,"{'a': 0.65395631338931293, 'e': 0.2703074793558784}",20,0,-24.669675583816215,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
542,False,"{'a': 0.65341545970342629, 'e': 0.26760613457184923}",20,1,-3.504958386991809,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
543,False,"{'a': 0.65287360655889337, 'e': 0.26489980330701002}",20,0,26.99506572712642,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
544,False,"{'a': 0.65233075395671314, 'e': 0.26218848558629348}",25,16,15.609586343952163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.65178690189788524, 'e': 0.25947218143463147}",25,0,11.539940862306059,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
546,False,"{'a': 0.6512420503834091, 'e': 0.25675089087695646}",25,0,6.760678377331024,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
547,False,"{'a': 0.65069619941428414, 'e': 0.25402461393820008}",25,0,-13.065478357060133,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
548,False,"{'a': 0.65014934899151, 'e': 0.25129335064329439}",20,13,11.293866451172443,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.64960149911608589, 'e': 0.24855710101717099}",35,0,-14.058189461028205,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
550,False,"{'a': 0.64905264978901145, 'e': 0.2458158650847615}",25,0,21.1578328880407,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
551,False,"{'a': 0.6485028010112861, 'e': 0.2430696428709973}",30,0,-9.514388805436354,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
552,False,"{'a': 0.64795195278390927, 'e': 0.2403184344008098}",30,0,-48.88965150740958,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",0
553,False,"{'a': 0.64740010510788037, 'e': 0.23756223969913037}",20,0,-29.408399998634774,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
554,False,"{'a': 0.64684725798419884, 'e': 0.23480105879088997}",30,0,1.169599870883494,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",1
555,False,"{'a': 0.64629341141386432, 'e': 0.23203489170101954}",20,8,-38.4425546137849,"{0: 8, 1: 2, 2: 0, 3: 2, 4: 0}",1
556,False,"{'a': 0.645738565397876, 'e': 0.22926373845445003}",20,7,15.338966973136923,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
557,False,"{'a': 0.64518271993723353, 'e': 0.22648759907611193}",30,0,-2.054816826798075,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
558,False,"{'a': 0.64462587503293611, 'e': 0.22370647359093621}",30,0,36.072886857739434,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
