trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
22,True,"{'a': 0.0, 'e': 0.0}",25,0,-86.13039051867312,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
23,True,"{'a': 0.0, 'e': 0.0}",30,0,-109.95566208469492,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 1}",0
24,True,"{'a': 0.0, 'e': 0.0}",25,0,-87.68916765236014,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
25,True,"{'a': 0.0, 'e': 0.0}",20,0,-155.46874856135312,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
26,True,"{'a': 0.0, 'e': 0.0}",20,0,-103.05787779265057,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
27,True,"{'a': 0.0, 'e': 0.0}",20,0,-83.21974097077921,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
28,True,"{'a': 0.0, 'e': 0.0}",20,0,-253.3317572881633,"{0: 8, 1: 4, 2: 2, 3: 1, 4: 5}",0
29,True,"{'a': 0.0, 'e': 0.0}",30,0,-175.89053043710373,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
30,True,"{'a': 0.0, 'e': 0.0}",25,0,-139.54703191243968,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
31,True,"{'a': 0.0, 'e': 0.0}",20,0,-214.90437470593713,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
32,True,"{'a': 0.0, 'e': 0.0}",30,0,-152.99978148589355,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
33,True,"{'a': 0.0, 'e': 0.0}",30,0,-77.16533061868837,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
34,True,"{'a': 0.0, 'e': 0.0}",25,0,-145.881052976451,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
35,True,"{'a': 0.0, 'e': 0.0}",25,0,-169.57421713183314,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
36,True,"{'a': 0.0, 'e': 0.0}",25,0,-90.37616246458506,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
37,True,"{'a': 0.0, 'e': 0.0}",25,0,-191.40733359254114,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
38,True,"{'a': 0.0, 'e': 0.0}",30,0,-249.8854215109287,"{0: 12, 1: 7, 2: 5, 3: 3, 4: 3}",0
39,True,"{'a': 0.0, 'e': 0.0}",20,0,-123.45947831965103,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
40,True,"{'a': 0.0, 'e': 0.0}",25,0,-81.57013861231276,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
